Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree
,Bachelor of Arts - English - Secondary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - English - Writing Rhetorics and Literacies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Environmental Design,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Environmental Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Exploratory Health and Life Sciences - Transfer to Bachelor's Degree,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Exploratory Humanities, Fine Arts and Design - Transfer to Bachelor's Degree","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Exploratory Math, Physical Sciences, Engineering and Technology - Transfer to Bachelor's Degree","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Exploratory Social and Behavioural Sciences - Transfer to Bachelor's Degree,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Family and Human Development,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Fashion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Film - Film and Media Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Film - Filmmaking Practices,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Finance,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - French,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Geographic Information Science,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020Deadline: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Geography,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Geography,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Geography - Meteorology-Climatology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - German,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Global Health,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Global Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Design - Graphic Design,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - History,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - History - Secondary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Design - Industrial Design,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Industrial Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Informatics,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Innovation in Society,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Innovation in Society,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Interdisciplinary Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Design - Interior Design,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - International Letters and Cultures,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - International Letters and Cultures - Classical Civilization,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - International Letters and Cultures - Classics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Italian,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Jewish Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Justice Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Justice Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Landscape Architecture,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Management,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Marketing,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Marketing - Digital and Integrated Marketing Communications,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Marketing - Professional Sales,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Materials Science and Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Mathematics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Mathematics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Mathematics - Secondary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Mathematics - Statistics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Mechanical Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Mechanical Engineering - Computational Mechanics,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Mechanical Engineering - Energy and Environment,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Microbiology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Microbiology - Medical Microbiology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Molecular Biosciences and Biotechnology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Bassoon,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Cello,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Clarinet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Double Bass,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Euphonium,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Flute,"Tuition: US$ 29,834.00",US$ 0.00,Start: Aug 2020Aug 2021,
,Bachelor of Arts - Music - Guitar,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Harp,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Horn,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Mezzo Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Oboe,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Organ,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Percussion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Percussion - Keyboard,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Percussion - Timpani,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Percussion - Snare Drum,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Percussion - Drum Set,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
