Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL iBT: 92.0 (Readng),Min TOEFL iBT: 92.0 (Writing),Min TOEFL iBT: 92.0 (Listening),Min TOEFL iBT: 92.0 (Speaking),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Listening),Min IELTS (Speaking),School ID,
,Bachelor of Computer Science (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - History,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Science - Computer Science - Accelerated,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: May 2020May 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Computer Science - Computer Game Technology (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Computer Science - Computer Game Technology/Creative Arts (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Computer Science - Mobile Software Engineering (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Business Administration - Accounting (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Business Administration - Human Resources (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Business Administration - Marketing (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Business Administration - Economics (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Community Economic & Social Development,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Engineering - Mining Engineering - Transfer to Laurentian University,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Engineering - Chemical Engineering - Transfer to Laurentian University,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Engineering - Mechanical Engineering - Transfer to Laurentian University,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Post Graduate Certificate - Business,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Post Graduate Certificate - Mobile Software Development,"Tuition: CA$ 18,000.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Post Graduate Certificate - Computing,"Tuition: CA$ 18,000.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Post Graduate Certificate - Information Technology,"Tuition: CA$ 18,000.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,5.5,5.5,5.5,5.5,,,,,4,
