Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Double Degree - Bachelor of Arts - English & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - French & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Geography & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - History & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Visual Arts & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Biological Science & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Chemistry & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Geography & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Mathematics & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Physics & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Master of Business Administration (Optional Co-op),"CA$ 29,284.00",CA$ 130.00,"Start: Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,4-Year Bachelor's Degree,75.00%,,,,,,,,,128,DLI#: O19394569014,105,7.5
,Bachelor of Arts - Canadian Studies,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Visual Arts - Studio Art,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Biological Sciences,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Sciences,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Economics (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Humanities,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Master of Education - International Student Pathway - Administration and Leadership,"CA$ 27,080.00",CA$ 130.00,Start: Jul 2021,Postgraduate Certificate / Master's Degree,4-Year Bachelor's Degree,80.00%,19,19,19,19,6,6,6,6,128,DLI#: O19394569014,88,6.5
,"Master of Education - International Student Pathway - Teaching, Learning and Development","CA$ 27,080.00",CA$ 130.00,Start: Jul 2021,Postgraduate Certificate / Master's Degree,4-Year Bachelor's Degree,80.00%,19,19,19,19,6,6,6,6,128,DLI#: O19394569014,88,6.5
